refno,year,location,pibloc,sex,length,weight,liver,age,skin
20020094,2002,Presque Isle Bay,Lagoons,F,349,334,0,6,1
20020098,2002,Presque Isle Bay,Lagoons,F,313,330,0,5,99
20020100,2002,Presque Isle Bay,Lagoons,M,345,500,0,8,99
20020101,2002,Presque Isle Bay,Lagoons,M,307,353,0,7,0
20020103,2002,Presque Isle Bay,Lagoons,F,336,502,0,7,1
20020104,2002,Presque Isle Bay,Lagoons,F,330,496,0,9,99
20020105,2002,Presque Isle Bay,Lagoons,F,314,300,0,6,99
20020106,2002,Presque Isle Bay,Lagoons,,331,457,0,4,99
20020107,2002,Presque Isle Bay,Lagoons,,311,349,0,6,99
20020108,2002,Presque Isle Bay,Lagoons,,323,463,0,5,1
20020109,2002,Presque Isle Bay,Lagoons,,322,329,0,3,99
20020110,2002,Presque Isle Bay,Lagoons,,343,531,0,7,99
20020111,2002,Presque Isle Bay,Lagoons,F,321,381,0,8,1
20020112,2002,Presque Isle Bay,Lagoons,,320,415,0,7,99
20020114,2002,Presque Isle Bay,Lagoons,F,308,384,0,5,99
20020115,2002,Presque Isle Bay,Lagoons,F,330,470,0,9,1
20020116,2002,Presque Isle Bay,Lagoons,M,345,534,0,9,99
20020118,2002,Presque Isle Bay,Lagoons,M,363,609,0,8,1
20020120,2002,Presque Isle Bay,Lagoons,M,324,508,0,4,99
20020121,2002,Presque Isle Bay,Lagoons,F,321,421,0,6,99
20020122,2002,Presque Isle Bay,Lagoons,F,305,300,0,5,1
20020124,2002,Presque Isle Bay,Lagoons,M,282,286,1,4,99
20020283,2002,Presque Isle Bay,Duck Pond,M,364,694,0,7,99
20020284,2002,Presque Isle Bay,Duck Pond,F,290,345,0,4,0
20020285,2002,Presque Isle Bay,Duck Pond,M,345,594,0,9,0
20020286,2002,Presque Isle Bay,Duck Pond,M,302,440,0,6,0
20020287,2002,Presque Isle Bay,Duck Pond,F,303,366,0,4,0
20020288,2002,Presque Isle Bay,Duck Pond,M,338,504,0,9,0
20020290,2002,Presque Isle Bay,Duck Pond,M,268,255,0,3,0
20020291,2002,Presque Isle Bay,Duck Pond,M,296,340,0,4,0
20020292,2002,Presque Isle Bay,Duck Pond,F,306,350,0,4,0
20020293,2002,Presque Isle Bay,Duck Pond,M,263,216,0,3,0
20020295,2002,Presque Isle Bay,Duck Pond,F,285,290,0,7,0
20030136,2003,Presque Isle Bay,Lagoons,F,307,330,0,10,0
20030137,2003,Presque Isle Bay,Lagoons,M,345,535,0,6,0
20030139,2003,Presque Isle Bay,Lagoons,F,305,330,0,5,0
20030140,2003,Presque Isle Bay,Lagoons,M,308,400,0,5,0
20030141,2003,Presque Isle Bay,Lagoons,M,298,329,0,5,0
20030142,2003,Presque Isle Bay,Lagoons,F,330,450,0,10,1
20030143,2003,Presque Isle Bay,Lagoons,F,345,512,0,10,99
20030144,2003,Presque Isle Bay,Lagoons,M,322,436,0,7,0
20030145,2003,Presque Isle Bay,Lagoons,F,312,409,0,8,99
20030146,2003,Presque Isle Bay,Lagoons,M,334,423,0,7,99
20030147,2003,Presque Isle Bay,Lagoons,M,345,404,1,11,0
20030148,2003,Presque Isle Bay,Lagoons,F,296,260,0,6,0
20030149,2003,Presque Isle Bay,Lagoons,M,341,499,0,6,0
20030150,2003,Presque Isle Bay,Lagoons,F,311,348,0,9,0
20030151,2003,Presque Isle Bay,Lagoons,M,337,440,0,6,0
20030152,2003,Presque Isle Bay,Lagoons,F,315,380,0,5,0
20030153,2003,Presque Isle Bay,Lagoons,F,286,272,0,4,0
20030154,2003,Presque Isle Bay,Lagoons,M,328,396,0,7,0
20030155,2003,Presque Isle Bay,Lagoons,M,340,445,0,8,1
20030156,2003,Presque Isle Bay,Lagoons,M,330,504,0,10,1
20030157,2003,Presque Isle Bay,Lagoons,M,309,364,0,7,0
20030158,2003,Presque Isle Bay,Lagoons,M,318,365,0,7,99
