   age,       smoke,  pop,dead
 40-44,          no,656,18
 45-59,          no,359,22
 50-54,          no,249,19
 55-59,          no,632,55
 60-64,          no,1067,117
 65-69,          no,897,170
 70-74,          no,668,179
 75-79,          no,361,120
80,          no,274,120
 40-44 c,CigarPipeOnly,145,2
 45-59 c,CigarPipeOnly,104,4
 50-54 c,CigarPipeOnly,98,3
 55-59 c,CigarPipeOnly,372,38
 60-64 c,CigarPipeOnly,846,113
 65-69 c,CigarPipeOnly,949,173
 70-74 c,CigarPipeOnly,824,212
 75-79 c,CigarPipeOnly,667,243
   80+ c,CigarPipeOnly,537,253
 40-44 c,CigarrettePlus,4531,149
 45-59 c,CigarrettePlus,3030,169
 50-54 c,CigarrettePlus,2267,193
 55-59 c,CigarrettePlus,4682,576
 60-64 c,CigarrettePlus,6052,1001
 65-69 c,CigarrettePlus,3880,901
 70-74 c,CigarrettePlus,2033,613
 75-79 c,CigarrettePlus,871,337
   80+ c,CigarrettePlus,345,189
 40-44 c,CigarretteOnly,3410,124
 45-59 c,CigarretteOnly,2239,140
 50-54 c,CigarretteOnly,1851,187
 55-59 c,CigarretteOnly,3270,514
 60-64 c,CigarretteOnly,3791,778
 65-69 c,CigarretteOnly,2421,689
 70-74 c,CigarretteOnly,1195,432
 75-79 c,CigarretteOnly,436,214
   80+ c,CigarretteOnly,113,63
