,Day,Price,Gender,Mayo,GarlicMayo,Ketchup,SpecialSauce,BarbecueSauce,ChilliGarlicSauce,Masala,Flavour,Chutney,Raita,Cheese,RedChilli,Category
1,Monday,30,F,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
2,Monday,140,M,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,WithSpiceSauce
3,Monday,50,M,N,Y,Y,N,N,N,Y,Y,N,N,N,N,WithSpiceSauce
4,Monday,50,M,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
5,Monday,30,M,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
6,Monday,30,M,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
7,Monday,30,M,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
8,Monday,30,M,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
9,Monday,50,M,N,Y,N,N,N,N,Y,Y,Y,N,N,N,WithSpiceSauce
10,Monday,50,M,N,Y,N,N,N,Y,Y,Y,N,N,N,N,WithSpiceSauce
11,Monday,50,F,Y,N,N,N,N,N,Y,Y,N,N,N,N,WithSpiceSauce
12,Monday,30,F,N,N,Y,N,N,N,Y,Y,N,N,N,N,WithSpiceSauce
13,Monday,30,M,N,N,N,N,N,N,N,Y,N,N,N,N,WithSpice
14,Monday,40,F,N,Y,N,N,N,N,N,N,N,N,N,N,WithSauce
15,Monday,40,F,N,N,N,N,N,Y,N,N,Y,Y,N,Y,WithSpiceSauce
16,Monday,30,F,N,N,Y,N,N,N,Y,Y,N,N,N,N,WithSpiceSauce
17,Monday,30,M,N,N,N,N,N,N,N,Y,N,N,N,N,WithSpice
18,Monday,30,F,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
19,Monday,30,M,N,N,N,N,N,N,Y,Y,N,N,N,N,WithSpice
20,Tuesday,30,F,N,N,N,N,N,N,Y,Y,N,Y,N,N,WithSpiceSauce
21,Tuesday,30,M,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,WithSpiceSauce
22,Tuesday,30,F,N,N,N,Y,N,N,Y,Y,N,N,N,N,WithSpiceSauce
23,Tuesday,50,M,N,Y,N,N,N,N,N,N,N,Y,N,N,WithSauce
24,Tuesday,30,F,N,N,Y,N,N,N,Y,Y,N,N,N,N,WithSpiceSauce
25,Tuesday,40,M,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,WithSpiceSauce
26,Tuesday,50,F,N,N,N,Y,N,N,Y,Y,N,N,N,N,WithSpiceSauce
27,Tuesday,140,M,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,WithSpiceSauce
